Date,Abs.,V(m3),Conc.,Aveg.,compound,location,year,month
2/25/2011 0:00,0.013,228,9.179824561,8.087922352,so2,Udyoga Bhawan,2011,february
2/25/2011 0:00,0.009,228,6.355263158,,so2,Udyoga Bhawan,2011,february
2/25/2011 0:00,0.013,228,9.179824561,,so2,Udyoga Bhawan,2011,february
2/25/2011 0:00,0.011,228,7.76754386,,so2,Udyoga Bhawan,2011,february
2/25/2011 0:00,0.009,228,6.355263158,,so2,Udyoga Bhawan,2011,february
2/25/2011 0:00,0.013,216,9.689814815,,so2,Udyoga Bhawan,2011,february
2/2/2011 0:00,0.009,228,6.355263158,9.885964912,so2,Kupwad,2011,february
2/2/2011 0:00,0.013,228,9.179824561,,so2,Kupwad,2011,february
2/2/2011 0:00,0.02,228,14.12280702,,so2,Kupwad,2011,february
2/2/2011 0:00,0.019,228,13.41666667,,so2,Kupwad,2011,february
2/2/2011 0:00,0.012,228,8.473684211,,so2,Kupwad,2011,february
2/2/2011 0:00,0.011,228,7.76754386,,so2,Kupwad,2011,february
2/5/2011 0:00,0.012,216,8.944444444,7.795658707,so2,Kupwad,2011,february
2/5/2011 0:00,0.014,216,10.43518519,,so2,Kupwad,2011,february
2/5/2011 0:00,0.011,228,7.76754386,,so2,Kupwad,2011,february
2/5/2011 0:00,0.013,240,8.720833333,,so2,Kupwad,2011,february
2/5/2011 0:00,0.007,228,4.942982456,,so2,Kupwad,2011,february
2/5/2011 0:00,0.008,216,5.962962963,,so2,Kupwad,2011,february
2/9/2011 0:00,0.021,228,14.82894737,12.57387508,so2,Kupwad,2011,february
2/9/2011 0:00,0.017,240,11.40416667,,so2,Kupwad,2011,february
2/9/2011 0:00,0.024,216,17.88888889,,so2,Kupwad,2011,february
2/9/2011 0:00,0.011,228,7.76754386,,so2,Kupwad,2011,february
2/9/2011 0:00,0.019,216,14.16203704,,so2,Kupwad,2011,february
2/9/2011 0:00,0.014,240,9.391666667,,so2,Kupwad,2011,february
2/16/2011 0:00,0.011,228,7.76754386,7.714583333,so2,Kupwad,2011,february
2/16/2011 0:00,0.009,240,6.0375,,so2,Kupwad,2011,february
2/16/2011 0:00,0.01,228,7.061403509,,so2,Kupwad,2011,february
2/16/2011 0:00,0.012,228,8.473684211,,so2,Kupwad,2011,february
2/16/2011 0:00,0.014,228,9.885964912,,so2,Kupwad,2011,february
2/16/2011 0:00,0.01,228,7.061403509,,so2,Kupwad,2011,february
2/23/2011 0:00,0.016,240,10.73333333,10.76864035,so2,Kupwad,2011,february
2/23/2011 0:00,0.021,228,14.82894737,,so2,Kupwad,2011,february
2/23/2011 0:00,0.016,240,10.73333333,,so2,Kupwad,2011,february
2/23/2011 0:00,0.014,228,9.885964912,,so2,Kupwad,2011,february
2/23/2011 0:00,0.018,240,12.075,,so2,Kupwad,2011,february
2/23/2011 0:00,0.009,228,6.355263158,,so2,Kupwad,2011,february
2/26/2011 0:00,0.008,228,5.649122807,9.462280702,so2,Kupwad,2011,february
2/26/2011 0:00,0.012,240,8.05,,so2,Kupwad,2011,february
